# Planes
# center_x center_y center_z normal_x normal_y normal_z
27.883026 -1.918740 -1.570518 -0.019715 0.080850 0.996531
39.053974 -0.522245 -5.592408 0.406535 -0.040128 0.912753
27.115213 -11.098667 0.870477 0.001955 0.038901 0.999241
47.376595 -3.498293 -0.730876 0.149876 0.987548 0.047814
-12.537291 8.497020 -2.110373 0.302262 0.285354 0.909511
38.873825 13.894840 0.479575 -0.049559 0.998024 -0.038628
-27.383490 14.693552 -0.688678 0.791104 -0.611670 0.003825
-30.900099 16.663965 -0.718250 0.932681 -0.352519 -0.076402
47.618999 16.121109 0.442922 -0.999230 0.017599 0.035072
41.133537 14.264695 -0.458197 -0.121643 0.986895 -0.106028
0.334148 12.182157 0.203437 0.305653 -0.316751 0.897912
11.335326 5.257024 -1.663581 -0.103429 -0.268090 0.957826
15.791444 43.478622 -0.813530 0.765463 0.640398 0.062903
23.763119 13.035918 0.384550 0.886219 0.463203 -0.007615
24.987169 12.984106 0.367970 0.192965 -0.976851 0.092337
18.383450 42.991295 -0.608478 0.825280 -0.553972 -0.109672
54.970749 16.454166 -0.344152 -0.991837 -0.059759 -0.112642
42.878555 7.275996 -1.572626 -0.099880 -0.126313 0.986949
22.463531 -6.806895 -0.983386 0.941564 -0.317593 0.112212
20.822363 -6.765424 -1.556496 0.002971 -0.090383 0.995903
30.408335 -6.615272 -1.388180 -0.516117 -0.159739 0.841491
30.814701 1.009578 -1.549451 -0.003763 -0.017965 0.999832
38.860935 2.996212 -1.532632 0.002175 -0.016957 -0.999854
50.684841 2.966465 -1.517631 0.079074 0.011703 0.996800
45.144993 2.975592 -1.529176 -0.008230 0.011334 0.999902
47.001057 3.025512 -1.538267 0.002352 0.011489 0.999931
49.168922 2.996738 -1.522843 0.084125 0.011999 0.996383
48.342140 -3.490692 -0.433532 0.036673 -0.998275 0.045842
15.470630 11.619951 0.310550 -0.872666 0.453715 0.180546
28.951981 13.280114 0.379929 -0.241154 0.947151 -0.211542
38.908524 4.986089 -1.616408 -0.003648 0.055267 0.998465
-6.183528 1.383150 -1.905705 -0.075471 0.005055 0.997135
34.942444 1.026486 -1.539371 0.002220 -0.017552 0.999843
47.027615 1.043434 -1.549503 -0.000553 0.002870 0.999996
-0.752905 5.359247 -2.024793 -0.088756 0.020949 0.995833
49.272820 5.127996 -1.589547 -0.009821 0.045381 0.998922
43.072987 8.351835 -1.353355 0.378404 -0.010633 -0.925580
15.868556 -2.986463 0.400880 -0.988894 -0.120122 -0.087523
47.588505 8.346759 -1.680951 0.007210 -0.005425 0.999959
44.196812 17.123367 -0.502134 -0.997358 -0.071635 -0.012029
31.083530 -6.858694 0.737272 -0.004182 0.034262 0.999404
-6.306384 -8.639583 0.365251 0.915904 0.390862 0.091358
47.616402 16.131807 -0.390344 -0.997553 -0.051618 -0.047147
22.789761 -1.629990 -1.463014 -0.216035 0.082040 0.972933
-7.192799 -3.266175 -1.806883 0.022733 -0.011439 0.999676
-5.847572 -2.673996 -1.810119 -0.071320 -0.002724 0.997450
-6.753602 2.725653 -1.958072 -0.078831 0.006526 0.996867
-11.640761 6.719623 -1.945497 -0.062648 0.015148 0.997921
52.769947 -0.265305 -0.534674 -0.085164 0.975920 0.200818
36.266838 11.692491 -0.392543 -0.711551 0.702539 0.011602
17.834160 -10.957429 0.504858 -0.997578 -0.068901 0.009509
49.335205 0.968680 -1.550300 -0.013606 0.001889 0.999906
31.427948 10.096452 -0.254666 -0.576470 -0.528013 -0.623607
-5.019262 5.474507 -2.040610 -0.076774 0.018341 0.996880
44.912163 5.146241 -1.612412 -0.000493 0.045863 0.998948
-2.918467 5.424311 -2.042642 -0.078836 0.022193 0.996641
47.007465 4.909687 -1.595371 0.000523 0.035225 0.999379
53.394684 4.982580 -1.546963 0.071451 0.011701 0.997375
43.118252 4.951120 -1.606127 -0.007304 0.047915 0.998825
31.154108 -9.046642 0.813230 -0.009975 0.035105 0.999334
63.343475 3.206087 -1.533640 0.051599 0.009357 0.998624
44.753597 6.944394 -1.624480 0.069004 -0.132170 0.988822
41.117634 8.254383 -1.691998 -0.001990 0.011447 0.999933
16.059084 -2.816800 0.588521 0.986684 -0.109134 -0.120596
38.874111 13.885525 -0.357983 -0.027409 0.999617 0.003729
47.678024 15.292906 -0.275836 -0.992426 -0.100440 -0.070734
69.240868 1.005851 0.195475 0.179975 0.012719 0.983589
-11.746119 5.534360 -1.496380 -0.645351 0.760929 -0.067154
20.889591 17.078821 -2.343930 -0.030564 0.154424 0.987532
31.496567 10.173406 0.222867 0.507149 0.237193 -0.828577
75.628067 10.525861 -0.815950 -0.983441 -0.160417 -0.084316
15.118960 4.964734 -1.786800 -0.012688 0.004266 0.999910
-22.720762 16.887804 -1.134004 -0.610969 0.760548 -0.219736
32.993862 -4.533849 0.352222 0.064726 -0.952135 -0.298746
51.038700 5.001048 -1.570565 0.049542 0.024036 0.998483
50.951649 7.091700 -1.665559 -0.006902 0.031248 0.999488
48.539158 6.956534 -1.674792 -0.010781 0.026431 0.999592
23.880272 -2.307057 0.278058 0.218436 -0.975469 0.027298
55.001801 9.029015 -1.485704 0.225166 0.090917 -0.970069
24.038685 -2.373822 0.271028 -0.988060 -0.153415 -0.014182
64.895538 15.650637 -0.864056 -0.069226 0.990908 -0.115364
59.156319 4.937197 -1.535420 0.056430 0.010842 0.998348
10.957774 -8.928591 0.588121 0.026750 0.999465 0.018831
43.043713 2.971721 -1.529584 0.000659 0.014931 0.999888
32.806091 13.480162 -0.302776 -0.069722 0.997530 -0.008573
36.957546 -1.434180 0.385929 0.965973 -0.188895 0.176675
68.452957 10.740400 -0.654729 -0.974666 -0.120477 0.188444
3.027799 2.964340 -1.914671 -0.003386 0.062215 0.998057
18.210575 16.852831 0.796766 -0.719294 -0.306024 0.623671
35.296387 -6.696147 0.778938 0.107281 -0.070850 -0.991701
17.825941 -10.932864 -0.938337 -0.998201 -0.059540 0.007006
9.912451 -7.385111 -0.408463 -0.039943 -0.017793 0.999044
4.173528 5.536592 0.822424 -0.997630 -0.068083 0.010005
32.897388 0.999966 -1.555183 0.004461 -0.021896 0.999750
4.164529 6.517420 0.899983 -0.994410 0.016364 0.104312
30.891005 -4.560058 0.351362 -0.033590 0.997262 0.065879
3.311818 11.495391 0.640741 0.149422 -0.988154 0.034990
44.685017 -3.814486 0.499534 -0.039024 0.977475 0.207414
17.922575 -12.622854 -1.002443 -0.997112 -0.074736 0.013505
48.998589 -3.476663 0.634832 0.148314 -0.980424 -0.129510
8.602280 11.964717 0.522074 -0.025285 0.999313 -0.027092
50.600521 -3.317142 0.825107 -0.014903 0.996186 -0.085975
24.989462 -4.919123 0.316474 -0.001281 0.951299 0.308267
57.077393 6.986177 -1.651705 0.055885 0.019029 0.998256
11.023620 12.135912 0.540634 -0.055713 0.998014 -0.029393
26.985010 -4.773633 0.319127 0.109921 -0.980507 -0.162859
15.001842 6.979834 -1.801599 -0.021110 0.013959 0.999680
12.859986 14.457113 0.441517 -0.996287 -0.083824 -0.019637
9.103381 -9.030723 -0.297988 0.265156 -0.963793 0.028220
28.937531 -4.680498 0.310924 -0.008671 0.920200 0.391353
60.508930 7.057319 -1.636728 0.052817 0.015266 0.998488
19.024511 -8.842963 -1.734335 0.007770 -0.090923 0.995828
19.059645 -6.925106 -1.562699 0.003743 -0.088700 0.996051
19.064793 5.114097 -1.686073 0.016804 -0.051728 0.998520
14.992299 -8.654593 -0.298110 -0.089419 0.995703 -0.024095
54.962730 16.491314 0.705795 -0.998620 -0.051299 0.011272
35.377735 13.726352 0.421281 -0.072528 -0.993443 0.088381
9.139771 3.103899 -1.839971 -0.007983 0.054995 0.998455
5.063673 5.264028 -6.964522 -0.974587 -0.088233 -0.205902
63.033195 15.541107 -0.897358 -0.046537 0.998397 -0.032224
56.821453 15.133294 0.576143 0.009158 -0.994308 0.106152
-22.459263 18.772865 -1.329406 0.601617 0.757423 0.253706
52.976665 -3.213048 0.864023 -0.206544 0.978297 -0.016588
23.588068 -4.973559 0.332455 -0.074223 0.997139 -0.014275
54.479389 7.041081 -1.651936 0.066605 0.017392 0.997628
42.872074 -3.814133 0.471624 0.058488 -0.998247 0.009024
37.121510 7.012692 -1.686425 -0.000327 0.002490 0.999997
9.457181 12.047774 0.605051 -0.060457 0.997895 -0.023451
72.748360 16.330454 0.979898 0.041087 0.996789 -0.068722
-7.058010 11.355096 1.648280 0.031863 -0.022313 0.999243
12.815087 14.680799 -2.113414 0.914180 0.132181 0.383150
18.265762 42.783211 0.852117 0.758972 -0.641315 0.112591
1.117208 2.874932 -1.912970 -0.001081 0.057775 0.998329
41.058266 -3.941567 0.501440 -0.058767 0.998093 -0.018884
20.834257 20.209261 -1.114417 -0.993520 -0.107516 -0.036863
43.105236 11.166802 0.493836 0.876318 0.472035 0.096182
74.865356 16.384005 1.054224 0.003521 -0.999987 0.003760
70.938278 16.168484 0.969514 -0.126245 0.981941 -0.140906
69.474304 16.092722 1.071264 -0.061459 0.997700 -0.028591
53.371040 11.020566 -1.667279 0.055860 0.022213 0.998192
60.618401 15.430475 0.771504 0.041393 -0.997306 0.060555
19.679255 19.407743 0.877517 -0.126220 -0.487448 0.863981
20.300331 -8.597926 -1.718752 0.014018 -0.090275 0.995818
66.802170 15.955582 0.854616 -0.021294 0.999259 0.032052
19.142570 31.101336 -3.555354 0.052334 0.029151 0.998204
44.203945 16.624754 0.575708 -0.997478 -0.067329 0.022456
67.472824 -2.224653 1.008360 0.128421 -0.990455 0.050079
40.744598 14.228132 0.436828 -0.117672 0.991578 0.054092
20.941313 5.009743 -1.700028 -0.009294 0.024057 0.999667
3.066492 -9.494174 -0.344061 -0.058008 0.998224 -0.013570
54.774715 19.208956 1.286295 -0.023343 -0.011897 0.999657
25.168037 -10.247828 0.807571 -0.071563 0.923002 0.378083
18.663286 -10.945171 -1.921475 0.016769 -0.079513 0.996693
-0.388505 12.298526 0.433988 0.132482 -0.327293 0.935590
94.453377 20.462219 0.842773 0.990380 0.017857 -0.137220
17.940142 -12.640277 0.577295 -0.999382 -0.033067 0.011939
-42.807777 -10.931884 2.793520 -0.686505 -0.170595 -0.706830
18.242588 -16.969301 0.563789 -0.998710 -0.050606 -0.004102
32.963165 2.952894 -1.551781 0.001698 0.032994 0.999454
3.300989 -9.467851 0.572293 0.128322 -0.991661 -0.011909
35.015949 2.980560 -1.539566 -0.000539 0.027211 0.999630
4.520634 -3.441920 0.923201 0.999601 -0.028226 -0.001393
37.074596 2.976252 -1.534521 0.005224 0.020498 0.999776
11.636430 8.972847 0.529774 -0.106572 0.991043 0.080474
55.536983 4.695683 -1.524610 0.062624 0.011928 0.997966
17.879156 9.406931 0.666161 -0.896389 -0.228062 -0.380099
-18.746357 9.556701 -1.608999 -0.657953 0.741103 -0.133658
13.626268 -10.379498 0.887843 -0.999132 -0.040917 -0.007806
44.903732 0.932146 -1.568249 -0.000470 -0.032221 0.999481
32.691570 13.507746 0.377147 0.231972 -0.964202 0.128465
4.989445 -9.368507 -0.253884 0.073542 -0.997183 -0.014745
36.870472 13.769540 0.456531 -0.090688 0.995849 -0.007732
18.242239 -17.104406 -0.608549 -0.998900 -0.046855 0.001689
36.941036 -4.221487 0.407703 -0.065609 0.997097 -0.038639
68.565002 7.066728 -1.573521 0.042672 0.011835 0.999019
46.707794 7.049704 -1.675859 0.085344 0.027724 0.995966
40.177170 -4.013937 0.330835 0.021338 -0.999704 0.011726
64.845970 15.731939 0.790538 0.151878 -0.988357 0.009112
49.596306 8.891460 -1.684975 -0.004286 0.004403 0.999981
-8.471006 6.991069 -2.145071 -0.067305 0.019739 0.997537
12.850662 14.521461 -0.992268 -0.996822 -0.077050 -0.020233
50.487816 14.723065 0.618484 0.005298 0.999790 0.019808
48.702232 14.771754 0.482117 -0.128063 0.886819 0.444018
47.681885 15.206534 0.521693 -0.995308 -0.095589 0.014994
-26.590044 -8.989879 -1.703959 -0.036931 -0.002366 0.999315
55.633591 3.235566 -1.514800 0.063720 0.010167 0.997916
5.479092 -3.093099 -7.042234 -0.326227 -0.064737 0.943072
53.299908 3.034874 -1.517519 0.074238 0.011983 0.997169
53.198147 1.049720 -1.405929 -0.004666 0.238453 0.971143
51.142788 0.707307 -1.437255 0.134575 -0.188266 -0.972854
40.890667 2.976385 -1.538165 0.002891 0.022437 0.999744
37.041134 1.003100 -1.544770 0.005275 -0.023001 0.999722
73.627022 12.924651 0.597824 0.907237 -0.417202 -0.053510
63.268635 9.237458 -1.497394 -0.424854 -0.208413 0.880944
65.064217 -2.444080 1.081514 -0.128141 0.991756 0.000285
35.471050 13.625355 -0.689376 -0.016625 0.988254 -0.151916
30.868513 13.334015 -0.477347 0.075260 -0.995284 0.061207
0.406109 12.214218 -0.324500 0.222099 0.955084 0.196180
-0.558827 12.160438 -0.366863 -0.144295 0.896554 0.418773
-0.987132 11.547226 -0.840362 -0.102460 -0.861319 0.497626
-23.810549 3.389378 -0.456359 -0.424830 -0.123220 0.896848
-6.309217 -8.686401 -0.407862 0.797570 0.601154 -0.049952
40.605736 -4.029030 -0.618798 -0.022890 -0.999738 -0.000991
28.969616 13.223408 -0.364531 -0.061882 0.997298 0.039595
26.854939 13.053201 -0.579374 0.082175 -0.995980 0.035654
-13.279340 -1.128088 -2.063296 0.102500 -0.026429 0.994382
11.049921 12.101599 -0.898040 0.063407 -0.997987 0.000983
-15.732823 1.500654 -1.404110 0.936789 -0.310600 0.161104
36.928253 -4.245203 -0.674810 -0.087073 0.995972 0.021380
74.816246 3.092163 -1.464072 -0.201524 0.031414 0.978980
74.921570 7.052632 -1.525221 0.038256 0.008776 0.999229
24.991436 12.930883 -0.455183 0.064081 -0.997778 0.018226
79.246353 -1.463312 1.003007 0.096880 -0.994507 0.039630
19.298466 10.963061 -1.730684 0.043952 0.045766 0.997985
21.036636 8.954169 -1.778503 -0.004944 0.034983 0.999376
21.071760 6.892287 -1.725213 -0.003944 0.018479 0.999821
23.043806 6.872849 -1.717918 -0.002972 0.020224 0.999791
22.930698 5.447446 -1.705076 0.008721 -0.005642 0.999946
13.038088 -8.795024 -0.328112 0.069278 -0.997544 0.010335
-19.652985 -0.961832 -1.559173 0.607285 -0.157727 0.778670
58.489277 -0.152317 -0.582746 -0.420169 -0.202937 0.884463
-23.497894 -4.471703 -1.442755 -0.650168 0.687571 0.323307
32.940582 -4.481872 -0.652338 0.041632 -0.993839 -0.102718
58.965935 15.265865 -0.851235 -0.046158 0.997753 -0.048569
64.671455 8.713307 -1.506644 0.226786 -0.206371 0.951829
64.489067 7.228129 -1.631966 0.047054 0.013968 0.998795
1.369766 -6.447702 -0.776299 -0.118916 0.991846 0.045831
59.427101 3.118915 -1.532626 0.051976 0.006090 0.998630
-21.039854 -4.977815 -1.749692 -0.046289 -0.000930 0.998928
15.074928 44.182632 1.389547 -0.603378 -0.793724 -0.077052
15.667019 43.645618 1.030276 -0.751943 -0.659222 -0.002689
-16.650196 -0.859184 -1.796340 -0.119585 0.014945 -0.992711
-18.700294 -5.044351 -1.929131 -0.048906 -0.001824 0.998802
-13.288432 6.857354 -1.840331 0.051198 0.080097 0.995471
-13.119906 4.863239 -1.869203 0.104718 -0.029062 0.994077
-12.941317 3.133605 -1.942556 0.183834 0.016738 0.982815
-16.773169 -3.012793 -2.055124 -0.054591 -0.002049 0.998507
22.969381 10.765412 -1.787980 -0.008245 -0.012673 0.999886
23.032965 8.886753 -1.762905 -0.003517 0.028266 0.999594
-11.472186 -5.274454 -1.759375 -0.058043 -0.005166 0.998301
12.680426 -6.079558 -0.759237 0.069870 0.990615 0.117471
51.284779 8.961817 -1.674948 -0.001647 -0.003277 0.999993
50.759079 10.552574 -1.676427 0.089016 0.036752 0.995352
-13.098113 1.014800 -1.975777 -0.059128 0.003907 0.998243
26.387766 10.220980 -1.529261 0.962115 -0.094955 0.255574
-7.133313 -4.414359 -1.827840 0.038439 -0.027495 0.998883
38.925705 -3.387389 -1.298564 -0.020171 0.091087 0.995639
-11.422505 6.950226 -2.116808 -0.070386 0.015141 0.997405
-11.540889 5.014467 -2.095284 -0.063993 0.012671 0.997870
-11.530125 2.993599 -2.071614 -0.069434 0.008928 0.997547
-11.552121 0.968992 -2.058652 -0.062939 0.005656 0.998001
-3.449950 1.125775 -1.807139 0.062362 0.077823 0.995015
-3.075707 -0.970703 -1.779322 0.067350 -0.033659 0.997162
-3.204950 -2.821757 -1.821409 -0.074505 -0.005102 0.997208
-1.152481 -2.953888 -1.766998 -0.008115 0.066293 0.997767
